Gols,Pontos,Casa,,,
-7.92,-5,1,2020,Coritiba,São Paulo
-5.36,-6,1,2020,Bahia,Sport Recife
-4.72,-4,0,2020,Corinthians,Bragantino
-4.29,-3,1,2020,Goiás,Santos
-0.91,-2,0,2020,Vasco da Gama,Atlético Mineiro
0.00,-1,0,2020,Internacional,Grêmio
,1,1,2020,Flamengo,Atl Paranaense
2.00,2,0,2020,Fluminense,Botafogo (RJ)
2.26,3,1,2020,Fortaleza,Atl Goianiense
6.25,5,1,2020,Palmeiras,Ceará
7.92,5,0,2020,São Paulo,Coritiba
